parent_asin,category,title,description,brand,price,average_rating,rating_count,review_text,search_text
B09PVH9414,Cell Phones & Accessories,"WEUIUJKILO Case for All-New Kindle Fire HD 8 & Fire HD 8 Plus Tablet (10th Generation, 2020 Release) - Slim PU Leather Stand Cover with Auto Sleep Wake, Patriotic American Flag Bald Eagle","This Fire HD 8 (2020) tablet case sports a simple and classy design made from synthetic leather, This case sports a simple and classy design made from synthetic leather, Unique pattern design and durable tablet computer case,shockproof, scratch-resistant, and drop-resistant. Please Note: ✔️ Specifically designed for All-New Amazon Fire HD 8 (10th Generation, 2020 Release) & Amazon Fire HD 8 Plus (2020).❌ Not Compatible with kindle fire HD 8 tablet ( 8th/7th/6th Generation, 2018/2017/2016 Release",WEUIUJKILO,23.99,4.0,7,"Does not fit, returned it. Dont buy for Fire gen 12 SCREEN IS RIGHT SIZE","Category: Cell Phones & Accessories | Brand: WEUIUJKILO | Product: WEUIUJKILO Case for All-New Kindle Fire HD 8 & Fire HD 8 Plus Tablet (10th Generation, 2020 Release) - Slim PU Leather Stand Cover with Auto Sleep Wake, Patriotic American Flag Bald Eagle | Description: This Fire HD 8 (2020) tablet case sports a simple and classy design made from synthetic leather, This case sports a simple and classy design made from synthetic leather, Unique pattern design and durable tablet computer case,shockproof, scratch-resistant, and drop-resistant. Please Note: ✔️ Specific | Price: $23.99"
B00DN8HTN2,Portable Audio & Accessories,UPBRIGHT New AC/DC Adapter for Memorex Mi3005 iMove Boombox Power Supply Cord Cable PS Wall Home Battery Charger Mains PSU,UpBright NEW AC / DC Adapter For Memorex Mi3005 iMove Boombox Power Supply Cord Cable PS Wall Home Battery Charger Input: 100 - 240 VAC 50/60Hz Worldwide Voltage Use Mains PSU CECCCROHS 100-240,UPBRIGHT,9.99,5.0,1,"just what i needed, at the right price.",Category: Portable Audio & Accessories | Brand: UPBRIGHT | Product: UPBRIGHT New AC/DC Adapter for Memorex Mi3005 iMove Boombox Power Supply Cord Cable PS Wall Home Battery Charger Mains PSU | Description: UpBright NEW AC / DC Adapter For Memorex Mi3005 iMove Boombox Power Supply Cord Cable PS Wall Home Battery Charger Input: 100 - 240 VAC 50/60Hz Worldwide Voltage Use Mains PSU CECCCROHS 100-240 | Price: $9.99
B0C14LGGLM,Industrial & Scientific,SZRMCC USB C Type-C to Hirose 4 pin Male PD Trigger Power Cable for Zoom F4 F8 Sound Devices 688 644 633 (Stright USB C),"Shipping time: *Ship From Amazon Warehouse, Takes 2-3 business days. *Ship From Oversea will take 3-15 working days via USPS(Support Expedited or Standard) About SZRMCC: SZRMCC As a connector and cable Professional product design manufacturer, we produce more than 1,000 kinds of cables, accessories and adapters. We also produce wireless antennas and aviation audio cables. Each cable we produce is strictly tested and compatible with machines from various major brand suppliers. Provides good conne",SZRMCC,33.99,3.2,6,"Works great, paired it with a 100 watt power supply with 2 usb-a, 2 usb-c and 2 Edison plugs. Bought 2 cables and use the other one for the remote controller. Works like a charm no more batteries. Bought this cable to power up a tentacle and it did not work for me so I returned it Smells like burning. I stopped using it immediately.","Category: Industrial & Scientific | Brand: SZRMCC | Product: SZRMCC USB C Type-C to Hirose 4 pin Male PD Trigger Power Cable for Zoom F4 F8 Sound Devices 688 644 633 (Stright USB C) | Description: Shipping time: *Ship From Amazon Warehouse, Takes 2-3 business days. *Ship From Oversea will take 3-15 working days via USPS(Support Expedited or Standard) About SZRMCC: SZRMCC As a connector and cable Professional product design manufacturer, we produce more than 1,000 kinds of cables, accessories  | Price: $33.99"
B01M02KRG0,All Electronics,Replaced Remote Control Compatible for Sony RMT-VB100U BDP-BX350 BDP-S2900 BD Blu-Ray DVD Disc Player,"This is a high quality, new replacement remote.  It compatibles for Sony RMT-VB100U BDP-BX350 BDP-S2900 149295411 BDPBX150 BDPS1500 BD DVD blu-ray disc player, put your batteries in to work( Batteries and Manual are not included).  It sold with money-back guarantee, Hassle-Free return, 30 days quality warranty.  Any problem, please kindly email us.",JustFine,9.85,4.6,6,son sat on sony remote and broke it. chose to order this remote instead of the sony factory remote because this one was a third less in price. works perfect! Perfect replacement! It was easy to use with my old Sony blue ray and works great! This remote is a knock off of Sonys remote. The TV buttons can not be programmed. It does work to control the Bluray player so I'm still using it.,"Category: All Electronics | Brand: JustFine | Product: Replaced Remote Control Compatible for Sony RMT-VB100U BDP-BX350 BDP-S2900 BD Blu-Ray DVD Disc Player | Description: This is a high quality, new replacement remote.  It compatibles for Sony RMT-VB100U BDP-BX350 BDP-S2900 149295411 BDPBX150 BDPS1500 BD DVD blu-ray disc player, put your batteries in to work( Batteries and Manual are not included).  It sold with money-back guarantee, Hassle-Free return, 30 days quali | Price: $9.85"
B00ABVOVX0,Home Audio & Theater,"TILT TV Wall Mount Bracket for Samsung UN40ES6100F 40"" INCH LED HDTV Television",Brand New In Box Wall Mount for Samsung UN40ES6100F TV + 1PACK OF 44 LARGE SCREEN CEALNING WIPES - LARGE,VPEmnt,39.99,4.6,3,"Works great The mount was delivered the next day (about a week earlier than promised).  It was easy to install.  TV fit perfectly, and directions were easy enough to follow. I've never used a TV mount before, so ","Category: Home Audio & Theater | Brand: VPEmnt | Product: TILT TV Wall Mount Bracket for Samsung UN40ES6100F 40"" INCH LED HDTV Television | Description: Brand New In Box Wall Mount for Samsung UN40ES6100F TV + 1PACK OF 44 LARGE SCREEN CEALNING WIPES - LARGE | Price: $39.99"
B075SBX1CX,Computers,"BIFANS 2.4G Mini Wireless Keyboard with Touchpad Mouse, Upgraded Multi Backlit, Portable Wireless Keyboard with USB Receiver Remote Control, Best for Android Smart TV Box HTPC Pad Xbox Windows Mac","Why choose BIFANS Mini Wireless Keyboard? - It works as a mouse, which converts your space movement in the air into an accurate displacement on the screen.  - It works as a keyboard, and you can use it portable to replace your usb keyboard.  - It works as a remote, which you can program and learn some important keys from your TV remote. Features: 2.4GHz wireless Keyboard with Touchpad Touchpad DPI adjustable functions Built-in high sensitive smart touchpad with 360 degree flip design Supports fo",BIFANS,10.99,3.8,237,"This is not backlit as described, which is the only reason i bought it. The up button doesnt work either. 4/31/18, it has completely stopped working today. I am going to return it. I would pass on thi It sucks , once connect to your TV you have to link your remote back to your TV when your done using it. This device feels pretty good in the hands. The touchpad works well and is easy to use. It serves its intended purpose.<br /><br />I was really hoping that it would ""just work"" if I connected it direc Llego todo bien I couldn't get the back light to lock on with a color after turning it off then on. I contacted the Co. and they replied; You'll need to manually turn the back light on and scroll through to desire co","Category: Computers | Brand: BIFANS | Product: BIFANS 2.4G Mini Wireless Keyboard with Touchpad Mouse, Upgraded Multi Backlit, Portable Wireless Keyboard with USB Receiver Remote Control, Best for Android Smart TV Box HTPC Pad Xbox Windows Mac | Description: Why choose BIFANS Mini Wireless Keyboard? - It works as a mouse, which converts your space movement in the air into an accurate displacement on the screen.  - It works as a keyboard, and you can use it portable to replace your usb keyboard.  - It works as a remote, which you can program and learn so | Price: $10.99"
B078R515XL,All Electronics,UpBright 12V AC/DC Adapter Compatible with WD ADS-24S-12 1224GPCU ADS-24S-121224GPCU MISAKIT Misaki T S018BU1200150 SO18BU1200150 Western Digital My Book WCAT10195348 Essential Hard Disk Drive HDD HD,UpBright New Global 12V AC / DC Adapter Compatible with WD ADS-24S-12 1224GPCU ADS-24S-121224GPCU MISAKIT MISAKI T S018BU1200150 SO18BU1200150 Western Digital My Book WCAT10195348 Essential External Hard Disk Drive HDD HD 12VDC 1.5A - 2A 18W - 24W DC12V 1500mA 2000mA 12.0V 1.5 A - 2.0A Switching Power Supply Cord Cable PS Wall Home Battery Charger Mains PSU CECCCROHS 100-240,UPBRIGHT,6.54,5.0,4,The product description matched the charger that went bad.  Worked perfectly.  I am happy with this item and the supplier.,Category: All Electronics | Brand: UPBRIGHT | Product: UpBright 12V AC/DC Adapter Compatible with WD ADS-24S-12 1224GPCU ADS-24S-121224GPCU MISAKIT Misaki T S018BU1200150 SO18BU1200150 Western Digital My Book WCAT10195348 Essential Hard Disk Drive HDD HD | Description: UpBright New Global 12V AC / DC Adapter Compatible with WD ADS-24S-12 1224GPCU ADS-24S-121224GPCU MISAKIT MISAKI T S018BU1200150 SO18BU1200150 Western Digital My Book WCAT10195348 Essential External Hard Disk Drive HDD HD 12VDC 1.5A - 2A 18W - 24W DC12V 1500mA 2000mA 12.0V 1.5 A - 2.0A Switching Pow | Price: $6.54
B07D9D7N74,All Electronics,"TAIFU 14V AC Adapter for Samsung U28E590D 28"" 4K UHD LCD Monitor LU28E590DS/ZA LU28E570DS/ZA S27D590CS C27A550U S27D390H S27D590 AD-6314N A4514_DSM A4514_DDY LC27F591FDNXZA 27"" Advanced LCD Monitor",Compatible with the following model: Samsung S27D590PS S27D590P LS27D590PS LS27D590PS/XL LS27D590PS/ZC LS27D590PS/ZA S27C750P LS27C750PS LS27C750PS/XL LS27C750PS/XY LS27C750PS/XA LS27C750PS/XT LS27C750PS/EN LS27C750PS/ZR S27C590H LS27C590HS S27B971D S27B971DS LS27B971DS/ZA S27B970D LS27B970D LS27B970DS LS27B970DS/ZA Samsung S27C590 LS27C590 S27B971 LS27B971 S27B970 LS27B970 S27A550H LS27A550HS/ZA S27A850D LS27A850DS/ZA LS27A850DS/XY LS27A850DS/EN S27A850T LS27A850TS/ZA S29E790C S23A750D LS23A750,TAIFU,19.49,4.6,97,"Works great It works fine, but it is always much hotter than the original power supply.<br /><br />Not sure what it is doing with all that extra electricity heating up the power brick.  Mining Bitcoin? Works great for my 4k monitor. Works Fine Lost the power plug a while back when I moved. Finally decided to buy the power plug so that I can use the monitor with my Macbook. It works right out of the box. Looks almost like the OEM version. Go","Category: All Electronics | Brand: TAIFU | Product: TAIFU 14V AC Adapter for Samsung U28E590D 28"" 4K UHD LCD Monitor LU28E590DS/ZA LU28E570DS/ZA S27D590CS C27A550U S27D390H S27D590 AD-6314N A4514_DSM A4514_DDY LC27F591FDNXZA 27"" Advanced LCD Monitor | Description: Compatible with the following model: Samsung S27D590PS S27D590P LS27D590PS LS27D590PS/XL LS27D590PS/ZC LS27D590PS/ZA S27C750P LS27C750PS LS27C750PS/XL LS27C750PS/XY LS27C750PS/XA LS27C750PS/XT LS27C750PS/EN LS27C750PS/ZR S27C590H LS27C590HS S27B971D S27B971DS LS27B971DS/ZA S27B970D LS27B970D LS27B97 | Price: $19.49"
B07CZWT9M8,Computers,F7HVR G4YJM 062VNH T2T3J Laptop Battery for Dell Inspiron 17 7000 7737 7746 14 15 15r 5545 7537 14-7437(14.8V 58Wh,"Battery Type: Li-ion Voltage: 14.8V Capacity: 58Wh Color: Black Condition: New in a safe package Warranty: 1 year warranty! Compatible Part NO : F7HVR 062VNH G4YJM T2T3J Fit Laptops: For Dell Inspiron 15 7537 series For Dell Insprion 17 7737 Series If you are not satisfied with your purchase in any way.Please give us an opportunity to try and make it right, We believe that communication is the best way to solve problems. If you have any questions or need any help, please feel free to contact us ",Hubei,40.88,4.0,85,"These laptops won't work well once the internal battery goes (even on AC power).  This battery fit perfectly and got me back up and running. Works like a charm.  Well worth the money. Computer works fine. The battery lasted less than three months. Not worth the time or money. That is outside the return window for Amazon. Didn't fit in easily.<br />Had to be forced in. It works very well, holds a charge well.  Install wasn't very hard just too a little time",Category: Computers | Brand: Hubei | Product: F7HVR G4YJM 062VNH T2T3J Laptop Battery for Dell Inspiron 17 7000 7737 7746 14 15 15r 5545 7537 14-7437(14.8V 58Wh | Description: Battery Type: Li-ion Voltage: 14.8V Capacity: 58Wh Color: Black Condition: New in a safe package Warranty: 1 year warranty! Compatible Part NO : F7HVR 062VNH G4YJM T2T3J Fit Laptops: For Dell Inspiron 15 7537 series For Dell Insprion 17 7737 Series If you are not satisfied with your purchase in any  | Price: $40.88
B06X9LN3QK,Computers,ASRock AB350M PRO4 MicroATX Motherboard,"ASRock AB350M PRO4 Socket AM4/AMD B350/DDR4/SATA3&USB3.0/M.2/A&GbE/MicroATX Motherboard, Supports AMD Socket AM4 A-Series APUs (Bristol Ridge) and Ryzen Series CPUs (Summit Ridge). CPU:- Supports AMD Socket AM4 A-Series APUs (Bristol Ridge) and Ryzen Series CPUs (Summit Ridge and Raven Ridge) - Digi Power design - 9 Power Phase design - Supports 95W Air Cooling Memory - Dual Channel DDR4 Memory Technology - 4 x DDR4 DIMM Slots - AMD Ryzen series CPUs (Summit Ridge) support DDR4 3200+(OC)/2933(OC",ASRock,247.86,3.8,336,"I should have known better than to get something that wasn't an ASUS!!  I use Linux and they have served my last 4-5 builds well, any time I try another brand I have issues.  This thing worked great f Too soon to tell of quality and durability but seems like a good buy. Son and myself built a little gaming computer and he’s loving it. I bought this motherboard for a friend 3 years ago on a competing website. It ended up in my hands 3 years later for reasons. Back then it was alright. Powering a gtx 1050 was absolutely no problem fo Works great! Just a bit hard to update bios and has SOME compatablity issues with windows 10 updates. But i didnt deduct any stars for this because this review is about the product, not how other aspe My second board.","Category: Computers | Brand: ASRock | Product: ASRock AB350M PRO4 MicroATX Motherboard | Description: ASRock AB350M PRO4 Socket AM4/AMD B350/DDR4/SATA3&USB3.0/M.2/A&GbE/MicroATX Motherboard, Supports AMD Socket AM4 A-Series APUs (Bristol Ridge) and Ryzen Series CPUs (Summit Ridge). CPU:- Supports AMD Socket AM4 A-Series APUs (Bristol Ridge) and Ryzen Series CPUs (Summit Ridge and Raven Ridge) - Digi | Price: $247.86"
B07MWDCJGG,Car Electronics,aSATAH 12 LED Car Rear View Camera for Toyota Reiz/Mark X MarkX/Prius/Toyota Land Cruiser LC100 LC120 LC200 Prado & Waterproof and Shockproof Reversing Backup Camera (12 LED),Car Rear View Camera/Back Up Parking Camera/License Plate Light Lamp Camera & LED HD CCD Night Vision Waterproof and Shockproof For Toyota REIZ 4D MK1 2004~2009 For Toyota MARK X 4D MK1 2004~2009 For Toyota Prius 2004~2010 For Toyota Land Cruiser LC 100 LC100 1998~2007 (No spare wheel on back door) For Toyota Land Cruiser LC 120 LC120 Prado 2002~2009 (No spare wheel on back door) For Toyota Land Cruiser LC 200 LC200 2008~ 2014 (No spare wheel on back door) For Toyota Land Cruiser 120 Prado 2002~,aSATAH,26.97,3.6,10,"Muy útil Required modification to fit. Poor angle that can’t be adjusted. Mediocre video quality. Description says it fits land cruiser lc200, but it doesn’t really so i had to fit it in the right side and use double sided tape to fix it in place, image quality is not bad but tbh not worth the mon",Category: Car Electronics | Brand: aSATAH | Product: aSATAH 12 LED Car Rear View Camera for Toyota Reiz/Mark X MarkX/Prius/Toyota Land Cruiser LC100 LC120 LC200 Prado & Waterproof and Shockproof Reversing Backup Camera (12 LED) | Description: Car Rear View Camera/Back Up Parking Camera/License Plate Light Lamp Camera & LED HD CCD Night Vision Waterproof and Shockproof For Toyota REIZ 4D MK1 2004~2009 For Toyota MARK X 4D MK1 2004~2009 For Toyota Prius 2004~2010 For Toyota Land Cruiser LC 100 LC100 1998~2007 (No spare wheel on back door)  | Price: $26.97
B0BY7YLN6Z,All Electronics,"Pencil 1st Generation for Apple iPad with Palm Rejection& LED Power Display, Active Pencil Compatible with (2023-2018) Apple iPad Pro (11/12.9 Inch),iPad Air 3/4/5,iPad10/9/8/7/6, iPad Mini 5/6",,atzeste,14.99,4.0,36,"The price is right for a pen that works! Arrived very quickly. The support for the working pen in the ad seems more than adequate. The price is right for a pen that works! Arrived very quickly. The support for the working pen in the ad seems more than adequate. Great for iPad but doesn’t work on iPhone, great battery life. Come with charging cable. It functions well and makes my handwriting look decent on an iPad screen. That's impressive, given that my handwriting is pretty sloppy. The writing recognition works well, though I suspect that is mo Extremely accurate, easy to use. Charges quickly, and has several days of use on one charge.","Category: All Electronics | Brand: atzeste | Product: Pencil 1st Generation for Apple iPad with Palm Rejection& LED Power Display, Active Pencil Compatible with (2023-2018) Apple iPad Pro (11/12.9 Inch),iPad Air 3/4/5,iPad10/9/8/7/6, iPad Mini 5/6 | Description:  | Price: $14.99"
B0BLC1YV8D,All Electronics,"eppfun USB Bluetooth Adapter for PC Laptop Desktop, Bluetooth 5.3 Dongle Receiver, Wireless Audio Adapter, Support Windows11/10/8.1, Compatible with Mouse Keyboard Headphones/Headsets Printers",,Eppfun,8.29,3.9,24,"I've tried a good half dozen bluetooth mice with this adapter.  I did not pair anything with Windows 11.  Very dissapointing. Compare with other Bluetooth that I have this have some interference a little bit disappointed The small size and build quality are good, however, the poor connectivity hampers the experience.  My earbuds frequently disconnect, especially when idle.  I would have to manually reconnect or repair Tiny, works well enough for headphones, connecting mouse (which I chose this one over the other eppfun one) was iffy. Ended up buying and installing newer PCI-e card instead. Not as convenient but wor I had it plugged into the back of my desktop PC, protected on 2 sides by 2 other USB cables. One day it was not working - nothing would connect to it. I looked behind the PC to see the light was off a","Category: All Electronics | Brand: Eppfun | Product: eppfun USB Bluetooth Adapter for PC Laptop Desktop, Bluetooth 5.3 Dongle Receiver, Wireless Audio Adapter, Support Windows11/10/8.1, Compatible with Mouse Keyboard Headphones/Headsets Printers | Description:  | Price: $8.29"
B08SMKXL3F,All Electronics,Rome Tech RTC CMOS Battery for Lenovo Thinkpad L440 L540 L560 L570 P50 P51S R40 R400 R40E R50 - Laptop Backup BIOS CMOS Battery CR2032 with 2 Pin Wire Cable,,Rome Tech,10.99,3.7,5,The polarity of the motherboard connector is backwards for the IMB R40 Type2682-F9U.  I had to cut and solder the wires.,Category: All Electronics | Brand: Rome Tech | Product: Rome Tech RTC CMOS Battery for Lenovo Thinkpad L440 L540 L560 L570 P50 P51S R40 R400 R40E R50 - Laptop Backup BIOS CMOS Battery CR2032 with 2 Pin Wire Cable | Description:  | Price: $10.99
B00JFJUCH8,GPS & Navigation,Yaesu FTA550L Handheld VHF Transceiver w/Li-Ion Battery,"The YAESU FTA-550 is packed with features, yet very affordable. Boasting an oversize full dot matrix LCD display, the FTA-550 Airband Transceiver provides full communication on the Aircraft communications Band and additionally provides VOR and ILS navigation features on the ""NAV"" band. The FTA-550 includes NOAA weather band monitoring and the capability of programming up to 200 memory channels with a quick and easy channel recall feature. The brand new easy to operate menu system is icon driven ",YAESU,299.0,4.6,220,"Would've kept it but very low power unit. Couldn't get any signals where lived so useless to me. good balance of quality and features for the $ Can't be left on the charger for more than 24 hours. This is supposed to be a back-up radio so you have to remember to take it off the charger then replace in before your trip so it can be safely char I love, love, LOVE this transceiver!  It has a great range where I'm picking up the main airport I fly at which is approximately 10 miles away.  I'm about 2 miles from KPHX, and I get them crystal cle I've had opportunity to test receiving transmissions so far and I'm impressed by the audio quality coming out of the speaker and the range - I was able to get ATIS on the ground for an airport about 1","Category: GPS & Navigation | Brand: YAESU | Product: Yaesu FTA550L Handheld VHF Transceiver w/Li-Ion Battery | Description: The YAESU FTA-550 is packed with features, yet very affordable. Boasting an oversize full dot matrix LCD display, the FTA-550 Airband Transceiver provides full communication on the Aircraft communications Band and additionally provides VOR and ILS navigation features on the ""NAV"" band. The FTA-550 i | Price: $299.00"
